Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,cape_link
"Algaze, Guillermo",ANAR 138 - The Emergence of Civilization (A),WI18,14,8,100.0 %,100.0 %,3.64,B+ (3.57),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923494
"Braswell, Geoffrey E.",ANAR 154 - The Aztecs & Their Ancestors (A),WI18,38,30,96.6 %,100.0 %,2.57,B+ (3.52),B (3.02),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923495
"Fortier, Jana",ANAR 184 - Empires in Archaeo Perspective (A),WI18,12,5,100.0 %,100.0 %,5.70,B (3.20),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923496
"Semendeferi, Ekaterini",ANBI 112 - Methods/Human CompNeuroscience (A),WI18,7,4,100.0 %,100.0 %,5.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923497
"Gagneux, Pascal",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),WI18,44,26,100.0 %,100.0 %,4.34,B (3.17),B- (2.88),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923498
"Schoeninger, Margaret J",ANBI 120 - Ethical Dilemmas in Bio Anthro (A),WI18,15,6,100.0 %,83.3 %,4.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923499
"Lafleur, Marni M",ANBI 133 - Evolution/Ecology: Great Ape (A),WI18,26,15,100.0 %,100.0 %,3.30,B+ (3.64),B (3.29),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923500
"Kang, Byung Chu",ANSC 117 - Transgenderisms (A),WI18,10,7,85.7 %,100.0 %,2.79,B+ (3.57),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923501
"Haviland, John B.",ANSC 118 - Language and Culture (A),WI18,17,10,66.7 %,77.8 %,6.50,B (3.22),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923502
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",WI18,60,30,96.4 %,96.4 %,4.64,A- (3.74),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923503
"Haviland, John B.","ANSC 131 - Language, Law, Social Justice (A)",WI18,13,9,66.7 %,66.7 %,5.39,B+ (3.33),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923504
"Jordan, David K.",ANSC 137 - Chinese Popular Religion (A),WI18,41,15,66.7 %,83.3 %,5.73,B+ (3.46),B (3.20),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923505
"Postero, Nancy Grey",ANSC 142 - Anthropology of Latin America (A),WI18,33,13,91.7 %,100.0 %,4.81,A- (3.77),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=929924
"Kang, Byung Chu",ANSC 148 - Global Health/Cultrl Diversity (A),WI18,69,58,94.8 %,96.6 %,4.22,A- (3.88),A- (3.88),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923506
"Brenner, Suzanne A",ANSC 154 - Gender and Religion (A),WI18,15,9,100.0 %,100.0 %,6.75,A- (3.88),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923507
"Pedersen, David","ANSC 178 - Brain, Mind, Culture & History (A)",WI18,26,11,63.6 %,80.0 %,2.14,B+ (3.55),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923508
"Hankins, Joseph D.",ANSC 180 - Capitalism & Gender (A),WI18,17,8,100.0 %,100.0 %,6.00,B (3.29),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923509
"Bialecki, Jon Anthony",ANTH 1 - Introduction to Culture (A),WI18,52,26,87.0 %,91.3 %,3.37,B+ (3.57),B+ (3.43),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923511
"Lafleur, Marni M",ANTH 102 - Humans Are Cultural Animals (A),WI18,140,68,82.1 %,89.4 %,3.34,A- (3.82),B+ (3.59),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923531
"Olivas Hernandez, Olga Lid",ANTH 21 - Race and Racisms (A),WI18,113,46,77.8 %,84.1 %,2.77,A- (3.79),A- (3.74),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923514
"Duzel, Esin",ANTH 21 - Race and Racisms (B),WI18,200,163,79.1 %,89.6 %,3.10,B+ (3.61),B+ (3.53),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=928211
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),WI18,210,187,88.0 %,91.8 %,3.38,B+ (3.60),A- (3.72),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=923523
"Semendeferi, Ekaterini",ANTH 87 - Freshman Seminar (A),WI18,12,10,100.0 %,100.0 %,0.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=927860
"Jordan, David K.",ANTH 87 - Freshman Seminar (B),WI18,14,10,88.9 %,88.9 %,1.30,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=927861
"Jordan, David K.",ANTH 87 - Freshman Seminar (C),WI18,13,9,100.0 %,100.0 %,1.17,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=929233
"D'Alpoim Guedes, Jade A",ANAR 100 - Spec Topics/Anth Archaeology (A),FA17,20,8,100.0 %,100.0 %,4.75,A- (3.75),A- (3.73),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=918055
"Rivera-Collazo, Isabel C",ANAR 164 - Maritime Archaeology (A),FA17,18,6,100.0 %,100.0 %,4.17,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913048
"Non, Amy L",ANBI 135 - Genetic Anthro Lab Techniques (B),FA17,27,17,93.8 %,93.8 %,4.38,B (3.29),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=920603
"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA17,50,22,95.2 %,90.5 %,4.31,B (3.29),B+ (3.42),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913051
"Minsky-Rowland, Jocelyn D",ANBI 145 - Bioarchaeology (A),FA17,21,17,94.1 %,93.3 %,5.91,B+ (3.41),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=918129
"Lafleur, Marni M",ANBI 148 - Ecology/Evol Primate Behavior (A),FA17,17,8,100.0 %,100.0 %,6.50,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913053
"Olivas Hernandez, Olga Lid",ANSC 105 - Global Health & Inequality (B),FA17,25,7,100.0 %,100.0 %,3.50,A (4.00),A- (3.83),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=919421
"Saravia, Paula F",ANSC 121 - Psychological Anthropology (A),FA17,42,20,60.0 %,57.9 %,3.97,B (3.05),B+ (3.39),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913057
"Bialecki, Jon Anthony",ANSC 124 - Cultural Anthropology (A),FA17,28,18,50.0 %,70.6 %,4.17,B+ (3.38),B (3.18),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=917822
"Csordas, Thomas J.",ANSC 129 - Meaning and Healing (A),FA17,18,12,100.0 %,100.0 %,5.33,A- (3.92),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913059
"Saravia, Paula F",ANSC 148 - Global Health/Cultrl Diversity (A),FA17,81,41,77.5 %,74.4 %,3.60,A- (3.90),A- (3.77),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=918137
"Varma, Saiba",ANSC 155 - Humanitarian Aid (A),FA17,18,16,100.0 %,100.0 %,6.25,A- (3.94),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=928299
"Pedersen, David",ANSC 177 - Anthrohistory: Past/Future (A),FA17,10,3,100.0 %,100.0 %,1.83,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913061
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA17,135,64,78.3 %,78.3 %,3.52,B+ (3.40),B+ (3.49),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913096
"Semendeferi, Ekaterini",ANTH 196A - Honors Studies in Anthropology (A),FA17,18,3,100.0 %,100.0 %,11.17,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913099
"Lafleur, Marni M",ANTH 2 - Human Origins (A),FA17,179,96,92.2 %,96.7 %,3.01,B+ (3.41),B- (2.91),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913063
"Kang, Byung Chu",ANTH 21 - Race and Racisms (A),FA17,280,212,97.1 %,99.5 %,2.63,A- (3.95),A- (3.81),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913069
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),FA17,312,270,83.5 %,94.0 %,3.69,B+ (3.41),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=913078
"Duzel, Esin",ANTH 23 - Debating Multiculturalism (B),FA17,191,173,84.4 %,92.4 %,3.45,A- (3.74),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=917865
"Kang, Byung Chu",ANTH 87 - Freshman Seminar (A),FA17,16,10,100.0 %,100.0 %,0.94,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=917781
"Semendeferi, Ekaterini",ANTH 87 - Freshman Seminar (B),FA17,18,14,92.3 %,92.3 %,0.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=917782
"Braswell, Geoffrey E.",ANAR 135S - Ancient Mediterranean Civ (A),S217,19,6,100.0 %,100.0 %,2.10,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=917846
"Most, Corinna",ANBI 173 - How Monkeys See the World (A),S217,27,21,100.0 %,100.0 %,5.83,B+ (3.44),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=909748
"Kurian, Amrita Achamma",ANSC 165 - Contemporary South Asia (A),S217,6,5,60.0 %,80.0 %,10.50,B+ (3.60),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=909749
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S217,111,32,93.3 %,90.0 %,3.85,A- (3.79),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=909750
"Parish, Steven Martin",ANTH 21 - Race and Racisms (A),S217,30,4,100.0 %,100.0 %,2.50,B (3.00),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=909752
"Kennemore, Amy Michelle",ANTH 23 - Debating Multiculturalism (A),S217,41,11,72.7 %,90.9 %,8.32,A- (3.88),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=909754
"Butt, Waqas H",ANSC 121 - Psychological Anthropology (A),S117,20,10,80.0 %,88.9 %,6.30,B+ (3.40),B- (2.93),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=908991
"Ribot Bencomo, Aida",ANSC 122 - Language in Society (A),S117,27,8,75.0 %,75.0 %,7.25,B+ (3.50),B (3.26),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=908992
"Wilder, Linnea Lorene",ANTH 2 - Human Origins (A),S117,17,7,100.0 %,100.0 %,6.21,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=908994
"Rothschild, Amy C",ANTH 21 - Race and Racisms (A),S117,36,17,93.8 %,100.0 %,5.38,B+ (3.64),B+ (3.37),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=908996
"Fortier, Jana",ANAR 124 - The Archaeology of Asia (A),SP17,15,10,80.0 %,80.0 %,4.10,B (3.20),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=906157
"Levy, Thomas E","ANAR 143 - Archeology, Anthr & the Bible (A)",SP17,15,7,50.0 %,50.0 %,5.30,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901073
"Yasur-Landau, Assaf",ANAR 165 - Archaeology & Biblical Seas (A),SP17,13,6,100.0 %,100.0 %,4.83,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901074
"Goldstein, Paul S",ANAR 180 - Archaeology Workshop (A),SP17,11,5,66.7 %,100.0 %,10.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901075
"Gagneux, Pascal",ANBI 100 - Special Topic/Biological Anth (A),SP17,20,6,100.0 %,100.0 %,2.50,B+ (3.50),B+ (3.58),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901079
"Non, Amy L",ANBI 134 - Human Evolutionary Genetics (A),SP17,17,11,90.9 %,100.0 %,6.50,B+ (3.40),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901077
"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),SP17,20,20,95.0 %,100.0 %,6.00,B (3.25),B (3.16),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=907631
"Beasley, Melanie Marie",ANBI 145 - Bioarchaeology (A),SP17,35,34,85.3 %,97.1 %,3.71,B (3.25),B+ (3.46),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901078
"Bialecki, Jon Anthony",ANSC 100 - Spec Top/Socio-Cultural Anthro (A),SP17,8,4,50.0 %,75.0 %,2.50,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901667
"Bialecki, Jon Anthony",ANSC 124 - Cultural Anthropology (A),SP17,21,7,28.6 %,57.1 %,5.93,B (3.00),B+ (3.62),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901081
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (A),SP17,29,10,100.0 %,100.0 %,6.06,B+ (3.56),B+ (3.36),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901082
"Kang, Byung Chu",ANSC 146 - Global Health Persp/HIV (A),SP17,26,9,75.0 %,75.0 %,3.50,A- (3.86),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901083
"Parish, Steven Martin",ANSC 147 - Global Health/ Environment (A),SP17,63,23,90.9 %,86.4 %,1.93,A- (3.90),A- (3.91),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901084
"Olivas Hernandez, Olga Lid",ANSC 151 - US-Mexico Border Ethnographies (A),SP17,17,7,100.0 %,100.0 %,4.79,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901085
"Itzhak, Nofit",ANSC 164 - Intro to Medical Anthropology (A),SP17,19,7,85.7 %,71.4 %,6.79,B- (2.71),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=905976
"Hartblay, Cassandra S",ANSC 173 - Ethnography in Practice (A),SP17,7,5,100.0 %,100.0 %,7.30,B+ (3.33),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=905977
"Pedersen, David",ANSC 175 - Anthropology of Capitalism (A),SP17,23,8,100.0 %,85.7 %,4.50,A- (3.83),A- (3.93),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901088
"Jenkins, Janis A.",ANSC 182 - Gun Violence/Social Pathology (A),SP17,12,6,83.3 %,83.3 %,3.30,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=902494
"Brenner, Suzanne A",ANTH 103 - Sociocultural Anthropology (A),SP17,65,34,81.8 %,84.8 %,4.50,B+ (3.52),B+ (3.56),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901117
"Semendeferi, Ekaterini",ANTH 196C - Honors Studies in Anthropology (A),SP17,6,4,100.0 %,100.0 %,2.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901119
"Garth, Hanna Fitzmaurice",ANTH 21 - Race and Racisms (A),SP17,220,162,86.8 %,88.7 %,3.83,B (3.29),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901095
"Itzhak, Nofit",ANTH 23 - Debating Multiculturalism (A),SP17,148,55,78.0 %,64.0 %,3.70,B+ (3.58),B (3.10),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901103
"Duzel, Esin",ANTH 23 - Debating Multiculturalism (C),SP17,35,7,100.0 %,100.0 %,3.64,B+ (3.67),B+ (3.31),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=907165
"Levy, Thomas E",ANTH 3 - Global Archaeology (A),SP17,51,14,100.0 %,100.0 %,2.21,A- (3.86),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=901091
"Braswell, Geoffrey E.",ANAR 153 - The Mysterious Maya (A),WI17,33,30,100.0 %,96.7 %,4.90,B (3.21),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890388
"Rivera-Collazo, Isabel C",ANAR 164 - Maritime Archaeology (A),WI17,23,8,100.0 %,100.0 %,9.25,B (3.17),B- (2.78),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=896743
"Beasley, Melanie Marie",ANBI 111 - Human Evolution (A),WI17,33,32,93.8 %,100.0 %,5.63,B (3.20),B (3.07),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890390
"Lafleur, Marni M",ANBI 133 - Evolution/Ecology: Great Ape (A),WI17,37,21,95.0 %,95.0 %,3.40,A- (3.70),B+ (3.51),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=895774
"Schoeninger, Margaret J",ANBI 146 - Stable Isotopes in Ecology (A),WI17,14,4,100.0 %,100.0 %,4.50,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890391
"Parish, Steven Martin",ANSC 101 - Aging: Cult/Health Hum Dev (A),WI17,50,23,81.0 %,85.7 %,2.31,A- (3.74),A- (3.99),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890392
"Olivas Hernandez, Olga Lid",ANSC 106 - GH: Indig Med in Latin Amer (A),WI17,22,11,100.0 %,100.0 %,4.68,B+ (3.55),A- (3.85),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890393
"Woolard, Kathryn A",ANSC 122 - Language in Society (A),WI17,46,16,73.3 %,86.7 %,3.70,B (3.18),B (3.11),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890394
"Brenner, Suzanne A","ANSC 125 - Gender, Sexuality, & Society (A)",WI17,55,34,96.7 %,93.3 %,4.70,A- (3.80),A- (3.75),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890395
"Postero, Nancy Grey",ANSC 135 - Indigenous Peoples/Latin Amer. (A),WI17,41,19,94.1 %,88.2 %,4.03,B+ (3.63),B+ (3.44),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890396
"Jordan, David K.",ANSC 136 - Traditional Chinese Society (A),WI17,44,18,61.1 %,72.2 %,4.15,B (3.29),B (3.19),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890397
"Varma, Saiba",ANSC 148 - Global Health/Cultrl Diversity (A),WI17,185,176,86.7 %,86.1 %,5.87,B (3.26),B- (2.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890398
"Pedersen, David","ANSC 178 - Brain, Mind, Culture & History (A)",WI17,12,9,100.0 %,100.0 %,5.36,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890401
"Duzel, Esin",ANTH 1 - Introduction to Culture (A),WI17,66,25,95.8 %,95.8 %,4.67,A- (3.91),B+ (3.42),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890404
"Beasley, Melanie Marie",ANTH 102 - Humans Are Cultural Animals (A),WI17,81,73,90.4 %,98.6 %,4.78,B+ (3.41),B+ (3.60),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890427
"Kang, Byung Chu",ANTH 21 - Race and Racisms (A),WI17,190,76,87.1 %,82.9 %,2.53,A- (3.77),A- (3.73),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890408
"Duzel, Esin",ANTH 23 - Debating Multiculturalism (A),WI17,94,45,80.5 %,73.2 %,3.91,B+ (3.69),B+ (3.38),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890414
"Klimova, Julia Germanovna",ANTH 23 - Debating Multiculturalism (B),WI17,225,96,83.7 %,62.8 %,3.08,A- (3.77),B+ (3.56),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=890421
"Jordan, David K.",ANTH 87 - Freshman Seminar (A),WI17,16,10,100.0 %,90.0 %,2.10,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=894027
"Jordan, David K.",ANTH 87 - Freshman Seminar (B),WI17,8,6,100.0 %,100.0 %,1.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=894028
"Goldstein, Paul S",ANTH 87 - Freshman Seminar (C),WI17,10,4,75.0 %,75.0 %,0.50,N/A,N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=894029
"Somerville, Andrew D",ANAR 100 - Spec Topics/Anth Archaeology (B),FA16,23,19,100.0 %,94.4 %,8.06,A- (3.81),B+ (3.68),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=885754
"Braswell, Geoffrey E.","ANAR 144 - Pharaohs,Mummies,Pyramds:Egypt (A)",FA16,17,16,100.0 %,92.9 %,4.07,B (3.29),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877573
"Schoeninger, Margaret J",ANBI 120 - Immortal Life/Henrietta Lacks (A),FA16,6,3,100.0 %,100.0 %,6.50,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=883733
"Schoeninger, Margaret J",ANBI 141 - The Evolution of Human Diet (A),FA16,34,16,100.0 %,92.3 %,3.33,A- (3.70),B+ (3.67),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877578
"Lafleur, Marni M","ANBI 148 - Evolution, Behavior, Ecology (A)",FA16,16,8,100.0 %,100.0 %,4.21,A- (3.71),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877580
"Beasley, Melanie Marie",ANBI 159 - Biological&Cult Persptv/Intell (A),FA16,25,13,90.9 %,100.0 %,4.32,B+ (3.64),A- (3.89),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=884030
"Haviland, John B.",ANSC 118 - Language and Culture (A),FA16,24,13,61.5 %,53.8 %,4.96,B+ (3.46),B+ (3.38),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877583
"Itzhak, Nofit",ANSC 121 - Psychological Anthropology (A),FA16,37,22,77.3 %,81.8 %,5.59,B+ (3.43),B (3.26),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=883522
"Haviland, John B.","ANSC 131 - Language, Law, Social Justice (A)",FA16,20,9,62.5 %,75.0 %,6.00,B (3.25),B+ (3.32),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877584
"Varma, Saiba",ANSC 155 - Humanitarian Aid (A),FA16,30,25,100.0 %,100.0 %,4.32,B+ (3.64),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877585
"Brenner, Suzanne A",ANSC 159 - Anthropology of Marriage (A),FA16,16,13,100.0 %,100.0 %,5.88,A- (3.85),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=885057
"Pedersen, David",ANSC 176 - Critical Military Studies (A),FA16,12,9,66.7 %,55.6 %,3.83,B+ (3.56),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877587
"Hankins, Joseph D.",ANSC 180 - Labor's Relations (A),FA16,20,15,100.0 %,100.0 %,6.50,B (3.23),B (3.27),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877588
"Hankins, Joseph D.",ANSC 181 - Animal Affairs (A),FA16,36,22,100.0 %,100.0 %,5.86,B+ (3.55),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877589
"Goldstein, Paul S",ANTH 101 - Foundations/Social Complexity (A),FA16,101,45,87.8 %,87.8 %,4.60,B+ (3.50),B+ (3.36),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877569
"Beasley, Melanie Marie",ANTH 2 - Human Origins (A),FA16,154,147,94.5 %,93.8 %,4.03,B+ (3.32),B (3.15),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877539
"Klimova, Julia Germanovna",ANTH 21 - Race and Racisms (A),FA16,274,143,85.4 %,83.1 %,3.25,B+ (3.63),B+ (3.41),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877544
"Stewart, Alexander B",ANTH 23 - Debating Multiculturalism (A),FA16,269,219,84.4 %,91.5 %,3.64,B+ (3.56),B+ (3.62),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877551
"Itzhak, Nofit",ANTH 23 - Debating Multiculturalism (B),FA16,271,159,66.2 %,77.7 %,4.10,B (3.29),B (3.06),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=877558
"Parish, Steven Martin",ANTH 87 - Freshman Seminar (B),FA16,15,9,100.0 %,100.0 %,0.79,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=885534
"Braswell, Geoffrey E.",ANAR 100 - Spec Topics/Anth Archaeology (A),S216,9,4,75.0 %,75.0 %,6.00,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=874404
"Braswell, Geoffrey E.",ANAR 155S - Stdy Abrd: Ancient Mesoamerica (A),S216,9,4,75.0 %,75.0 %,6.50,A- (3.75),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=874405
"Most, Corinna",ANBI 116 - Hmn Sexuality in Evolutn Pers (A),S216,12,6,100.0 %,100.0 %,4.17,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873429
"Welji, Haleema Nazir",ANSC 122 - Language in Society (A),S216,33,12,72.7 %,100.0 %,9.05,B+ (3.40),B (3.30),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873431
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S216,57,17,100.0 %,100.0 %,3.57,A- (3.93),A- (3.92),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873432
"Hagerman, Kiri Louise",ANTH 2 - Human Origins (A),S216,14,9,88.9 %,100.0 %,4.25,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873424
"Parish, Steven Martin",ANTH 21 - Race and Racisms (A),S216,39,9,87.5 %,50.0 %,4.00,B+ (3.50),A- (3.80),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873426
"Balaswaminathan, Sowparnika",ANTH 23 - Debating Multiculturalism (A),S216,39,11,81.8 %,100.0 %,6.14,B+ (3.36),B- (2.95),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=873428
"Beasley, Melanie Marie",ANBI 143 - The Human Skeleton (A),S116,20,19,94.7 %,100.0 %,6.50,B+ (3.63),B+ (3.50),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=872828
"Saravia, Paula F",ANSC 105 - Global Health & Inequality (A),S116,28,9,100.0 %,100.0 %,6.00,B+ (3.50),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=872829
